"id","venta_id","monto","estado","cliente_id","productos","monto_total","fecha","descripcion"
"249","962",,"pagada","34","[{""nombre"":""Neveras Royal 5.5 B225-18/11/25"",""cantidad"":1,""id_producto"":26,""precio_unitario"":180}]","0.00","2025-12-04 20:12:25.597691","Deuda generada por venta 962"
"250","965",,"pagada","12","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":13,""id_producto"":31,""precio_unitario"":33}]","0.00","2025-12-04 20:30:56.479347","Deuda generada por venta 965"
"251","984",,"pagada","12","[{""nombre"":""Ventilador JMD 18p"",""cantidad"":1,""id_producto"":3,""precio_unitario"":60}]","0.00","2025-12-05 19:35:46.421424","Deuda generada por venta 984"
"252","986",,"pagada","56","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":12,""id_producto"":31,""precio_unitario"":33}]","0.00","2025-12-05 21:06:38.260691","Deuda generada por venta 986"
"253","993",,"pagada","10","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":6,""id_producto"":31,""precio_unitario"":35}]","0.00","2025-12-06 15:24:02.623536","Deuda generada por venta 993"
"254","995",,"pagada","19","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""id_producto"":8,""precio_unitario"":37},{""nombre"":""Cocinas Bryderk"",""cantidad"":1,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-12-06 16:02:31.247744","Deuda generada por venta 995"
"255","998",,"pagada","39","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":4,""id_producto"":31,""precio_unitario"":38}]","0.00","2025-12-06 17:17:25.514736","Deuda generada por venta 998"
"256","1003",,"pagada","151","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":15,""id_producto"":31,""precio_unitario"":33}]","0.00","2025-12-06 20:15:05.687652","Deuda generada por venta 1003"
"257","1012",,"pagada","39","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":1,""id_producto"":31,""precio_unitario"":43}]","0.00","2025-12-08 15:00:50.23169","Deuda generada por venta 1012"
"258","1013",,"pagada","39","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":3,""id_producto"":31,""precio_unitario"":38}]","0.00","2025-12-08 15:01:16.669149","Deuda generada por venta 1013"
"259","1015",,"pagada","19","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":3,""id_producto"":31,""precio_unitario"":33},{""nombre"":""ventilador de 12 pulgada nuevo"",""cantidad"":1,""id_producto"":22,""precio_unitario"":30}]","0.00","2025-12-08 15:28:01.561022","Deuda generada por venta 1015"
"260","1016",,"pagada","10","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":10,""id_producto"":31,""precio_unitario"":35}]","0.00","2025-12-08 15:29:23.589627","Deuda generada por venta 1016"
"261","1017",,"pendiente","12","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":36,""id_producto"":31,""precio_unitario"":33},{""nombre"":""Ventilador JMD 18p"",""cantidad"":1,""id_producto"":3,""precio_unitario"":60},{""nombre"":""ventilador de 12 pulgada nuevo"",""cantidad"":10,""id_producto"":22,""precio_unitario"":30}]","0.04","2025-12-08 15:36:04.20006","Deuda generada por venta 1017"
"262","1018",,"pagada","39","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":1,""id_producto"":31,""precio_unitario"":33}]","0.00","2025-12-08 15:36:51.36854","Deuda generada por venta 1018"
"263","1019",,"pendiente","487","[{""nombre"":""ventilador de 12 pulgada nuevo"",""cantidad"":1,""id_producto"":22,""precio_unitario"":40}]","40.00","2025-12-08 15:51:50.554342","Deuda generada por venta 1019"
"264","1021",,"pagada","218","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":1,""id_producto"":31,""precio_unitario"":45}]","0.00","2025-12-08 16:01:31.226606","Deuda generada por venta 1021"
"265","1027",,"pagada","39","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":1,""id_producto"":31,""precio_unitario"":38}]","0.00","2025-12-08 18:02:40.514819","Deuda generada por venta 1027"
"266","1029",,"pendiente","445","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":10,""id_producto"":31,""precio_unitario"":33}]","330.00","2025-12-08 18:56:40.023433","Deuda generada por venta 1029"
"267","1033",,"pagada","39","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":2,""id_producto"":31,""precio_unitario"":38}]","0.00","2025-12-08 19:48:25.171447","Deuda generada por venta 1033"
"268","1034",,"pagada","492","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":50,""id_producto"":31,""precio_unitario"":35}]","0.00","2025-12-08 20:06:00.042656","Deuda generada por venta 1034"
